id,key,value,type
4878665746,source,Bing,regular
4878665747,source,Bing,regular
4878665748,source,Bing,regular
4878665749,source,Bing,regular
4878665750,source,Bing,regular
4878665751,source,Bing,regular
4878665752,source,Bing,regular
4878665753,source,Bing,regular
4878665754,source,Bing,regular
4878665755,source,Bing,regular
4878665756,source,Bing,regular
4878665757,source,Bing,regular
4878665758,source,Bing,regular
4878665759,source,Bing,regular
4878665760,source,Bing,regular
4878665761,source,Bing,regular
4878665762,source,Bing,regular
4878665763,source,Bing,regular
4878665764,source,Bing,regular
4878665765,source,Bing,regular
4878665766,source,Bing,regular
4878665767,source,Bing,regular
4878665768,source,Bing,regular
4878665769,source,Bing,regular
4878665770,source,Bing,regular
4878665771,source,Bing,regular
4878665772,source,Bing,regular
4878665773,source,Bing,regular
4878665774,source,Bing,regular
4878665775,source,Bing,regular
4878665776,source,Bing,regular
4878665777,source,Bing,regular
4878665778,source,Bing,regular
4878665779,source,Bing,regular
4878665780,source,Bing,regular
4878665781,source,Bing,regular
4878665782,source,Bing,regular
4878665783,source,Bing,regular
4878665784,source,Bing,regular
4878665785,source,Bing,regular
4878665786,source,Bing,regular
4878665787,source,Bing,regular
4878665788,source,Bing,regular
4878665789,source,Bing,regular
4878665790,source,Bing,regular
4878665791,source,Bing,regular
4878665792,source,Bing,regular
4878665793,source,Bing,regular
4878665794,source,Bing,regular
4878665795,source,Bing,regular
4878665796,source,Bing,regular
4878665797,source,Bing,regular
4878665798,source,Bing,regular
4878665799,source,Bing,regular
4878665800,source,Bing,regular
4878665801,source,Bing,regular
4878665802,source,Bing,regular
4878665803,source,Bing,regular
4878665804,source,Bing,regular
4878665805,source,Bing,regular
4878665806,source,Bing,regular
4878665807,source,Bing,regular
4878665808,source,Bing,regular
4878665809,source,Bing,regular
4878666229,source,Bing,regular
4878666235,source,survey,regular
4878666236,source,Bing,regular
4878666237,source,Bing,regular
4878666238,source,Bing,regular
4878666239,source,Bing,regular
4878666240,source,Bing,regular
4878666241,source,Bing,regular
4878666242,source,Bing,regular
4878666243,source,Bing,regular
4878666244,source,Bing,regular
4878666245,source,Bing,regular
4878666246,source,Bing,regular
4878666247,source,Bing,regular
4878666248,source,Bing,regular
4878666249,source,Bing,regular
4878666260,source,Bing,regular
4878666261,source,Bing,regular
4878666262,source,Bing,regular
4878666263,source,Bing,regular
4878666264,source,Bing,regular
4878666265,source,Bing,regular
4878666266,source,Bing,regular
4878666267,source,Bing,regular
4878666268,source,Bing,regular
4878666269,source,Bing,regular
4878666270,source,Bing,regular
4878666271,source,Bing,regular
4878666273,source,Bing,regular
4878666274,source,Bing,regular
4878666275,source,Bing,regular
4878666276,source,Bing,regular
4878728890,source,Bing,regular
4878728891,source,Bing,regular
4878728892,source,Bing,regular
4878728893,source,Bing,regular
4878728894,source,Bing,regular
4878729658,source,Bing,regular
4878729659,source,Bing,regular
4878729660,source,Bing,regular
4878729661,source,Bing,regular
4878729662,source,Bing,regular
4878729663,source,Bing,regular
4878729664,source,Bing,regular
4878729665,source,Bing,regular
4878729666,source,Bing,regular
4878729667,source,Bing,regular
4878729668,source,Bing,regular
4878729669,source,Bing,regular
4878729670,source,Bing,regular
4878729671,source,Bing,regular
